Round,FPR,FRR
0,0.0,1.0
1,0.0,0.4666666666666667
2,0.0,0.26666666666666666
3,0.0,0.7666666666666667
4,0.0,0.5333333333333333
5,0.0,0.23333333333333334
6,0.0,0.23333333333333334
7,0.0,0.16666666666666666
8,0.0,0.4
9,0.0,0.5333333333333333
10,0.0,0.3333333333333333
11,0.0,0.3333333333333333
12,0.0,0.16666666666666666
13,0.0,0.1
14,0.0,0.06666666666666667
15,0.0,0.1
16,0.0,0.4
17,0.0,0.36666666666666664
18,0.0,0.3
19,0.0,0.26666666666666666
20,0.0,0.2
21,0.0,0.13333333333333333
22,0.0,0.13333333333333333
23,0.0,0.1
24,0.0,0.13333333333333333
25,0.0,0.3
26,0.0,0.3333333333333333
27,0.0,0.23333333333333334
28,0.0,0.2
29,0.0,0.16666666666666666
30,0.0,0.06666666666666667
31,0.0,0.1
32,0.0,0.13333333333333333
33,0.0,0.03333333333333333
34,0.0,0.1
35,0.0,0.13333333333333333
36,0.0,0.2
37,0.0,0.36666666666666664
38,0.0,0.3333333333333333
39,0.0,0.26666666666666666
40,0.0,0.2
41,0.0,0.06666666666666667
42,0.0,0.06666666666666667
43,0.0,0.13333333333333333
44,0.0,0.13333333333333333
45,0.0,0.1
46,0.0,0.13333333333333333
47,0.0,0.1
48,0.0,0.0
49,0.0,0.03333333333333333
50,0.0,0.23333333333333334
